1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Battle of Sarikamish;Alexander Myshlayevsky;Otto von Feldmann
Battle of Sarikamish;Alexander Myshlayevsky;Yusuf Izzet Pasha
Battle of Sarikamish;Alexander Myshlayevsky;Galip Pasha
Battle of Sarikamish;Alexander Myshlayevsky;İhsan Sökmen
Battle of Sarikamish;Alexander Myshlayevsky;Şerif İlden
Battle of Sarikamish;Alexander Myshlayevsky;Ziya Yergök
Battle of Sarikamish;Alexander Myshlayevsky;Arif Baytın
Battle of Sari Bair;Ian Standish Monteith Hamilton;Mustafa Kemal Atatürk
Battle of Sari Bair;Ian Standish Monteith Hamilton;Liman von Sanders
Battle of Sari Bair;Ian Standish Monteith Hamilton;Faik Pasha
Battle of Sarrebourg;Auguste Dubail;Crown Prince Rupprecht of Bavaria
Battle of Scimitar Hill;Beauvoir De Lisle;Mustafa Kemal Atatürk
Battle of Segale;Fitawrari Habte Giyorgis Ras Kebede Mengesha;Negus Mikael of Wollo
Battle of Sellenberk (1916);Ioan Culcer;Hermann von Staabs
Battle of Sellenberk (1916);Ioan Culcer;Arthur Arz von Straussenburg
Battle of Sellenberk (1916);Ioan Culcer;Béla Tanárky
Battle of Sellenberk (1916);Constantin Manolescu;Hermann von Staabs
Battle of Sellenberk (1916);Constantin Manolescu;Arthur Arz von Straussenburg
Battle of Sellenberk (1916);Constantin Manolescu;Béla Tanárky
Battle of Seray Mountain;Agha Petros;Halil Kut
Battle of Seray Mountain;Agha Petros;POW
Battle of Seray Mountain;Malik Khoshaba;Halil Kut
Battle of Seray Mountain;Malik Khoshaba;POW
Battle of Seray Mountain;Malik Khiyo;Halil Kut
Battle of Seray Mountain;Malik Khiyo;POW
Battle of Shaiba;Charles Melliss;Süleyman Askerî
Battle of Sharon;Edmund Allenby;Liman von Sanders
Battle of Sharon;Edmund Allenby;Mustafa Kemal Atatürk
Battle of Sharon;Edmund Allenby;Cevat Çobanlı
Battle of Sharon;Edward Bulfin;Liman von Sanders
Battle of Sharon;Edward Bulfin;Mustafa Kemal Atatürk
Battle of Sharon;Edward Bulfin;Cevat Çobanlı
Battle of Sharon;Harry Chauvel;Liman von Sanders
Battle of Sharon;Harry Chauvel;Mustafa Kemal Atatürk
Battle of Sharon;Harry Chauvel;Cevat Çobanlı
Battle of Sharqat;William M. Marshall;İsmail Hakkı Okday
Battle of Sharqat;Alexander Cobbe;İsmail Hakkı Okday
Battle of Sharqat;Malik Yaqo;İsmail Hakkı Okday
Battle of Sharqat;Agha Petros;İsmail Hakkı Okday
Battle of Sheikh Sa'ad;Fenton Aylmer;Colmar Freiherr von der Goltz
Battle of Sheikh Sa'ad;Fenton Aylmer;Halil Kut
Battle of Sheikh Sa'ad;George Younghusband;Colmar Freiherr von der Goltz
Battle of Sheikh Sa'ad;George Younghusband;Halil Kut
Battle of Sheikh Sa'ad;George Kemball;Colmar Freiherr von der Goltz
Battle of Sheikh Sa'ad;George Kemball;Halil Kut
Battle of Skra-di-Legen;Emmanouil Zymvrakakis (Army general);Ivan Bonchev
Battle of Skra-di-Legen;Adolphe Guillaumat;Ivan Bonchev
Battle of Skra-di-Legen;Auguste Gérôme;Ivan Bonchev
Battle of Slatina;Constantin Prezan;Viktor Kühne
Battle of Slatina;Ion Antonescu;Viktor Kühne
Battle of Smorgon;Anton Denikin;Otto von Garnier
Battle of Soissons (1918);Ferdinand Foch;Erich Ludendorff
Battle of Soissons (1918);Ferdinand Foch;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Ferdinand Foch;Johannes von Eben
Battle of Soissons (1918);Ferdinand Foch;Wilhelm von Woyna
Battle of Soissons (1918);Ferdinand Foch;Hermann von Staabs
Battle of Soissons (1918);Ferdinand Foch;Oskar von Watter
Battle of Soissons (1918);Philippe Pétain;Erich Ludendorff
Battle of Soissons (1918);Philippe Pétain;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Philippe Pétain;Johannes von Eben
Battle of Soissons (1918);Philippe Pétain;Wilhelm von Woyna
Battle of Soissons (1918);Philippe Pétain;Hermann von Staabs
Battle of Soissons (1918);Philippe Pétain;Oskar von Watter
Battle of Soissons (1918);Émile Fayolle;Erich Ludendorff
Battle of Soissons (1918);Émile Fayolle;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Émile Fayolle;Johannes von Eben
Battle of Soissons (1918);Émile Fayolle;Wilhelm von Woyna
Battle of Soissons (1918);Émile Fayolle;Hermann von Staabs
Battle of Soissons (1918);Émile Fayolle;Oskar von Watter
Battle of Soissons (1918);Charles Mangin;Erich Ludendorff
Battle of Soissons (1918);Charles Mangin;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Charles Mangin;Johannes von Eben
Battle of Soissons (1918);Charles Mangin;Wilhelm von Woyna
Battle of Soissons (1918);Charles Mangin;Hermann von Staabs
Battle of Soissons (1918);Charles Mangin;Oskar von Watter
Battle of Soissons (1918);Pierre Berdoulat;Erich Ludendorff
Battle of Soissons (1918);Pierre Berdoulat;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Pierre Berdoulat;Johannes von Eben
Battle of Soissons (1918);Pierre Berdoulat;Wilhelm von Woyna
Battle of Soissons (1918);Pierre Berdoulat;Hermann von Staabs
Battle of Soissons (1918);Pierre Berdoulat;Oskar von Watter
Battle of Soissons (1918);Albert Daugan;Erich Ludendorff
Battle of Soissons (1918);Albert Daugan;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Albert Daugan;Johannes von Eben
Battle of Soissons (1918);Albert Daugan;Wilhelm von Woyna
Battle of Soissons (1918);Albert Daugan;Hermann von Staabs
Battle of Soissons (1918);Albert Daugan;Oskar von Watter
Battle of Soissons (1918);John J. Pershing;Erich Ludendorff
Battle of Soissons (1918);John J. Pershing;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);John J. Pershing;Johannes von Eben
Battle of Soissons (1918);John J. Pershing;Wilhelm von Woyna
Battle of Soissons (1918);John J. Pershing;Hermann von Staabs
Battle of Soissons (1918);John J. Pershing;Oskar von Watter
Battle of Soissons (1918);Robert L. Bullard;Erich Ludendorff
Battle of Soissons (1918);Robert L. Bullard;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Robert L. Bullard;Johannes von Eben
Battle of Soissons (1918);Robert L. Bullard;Wilhelm von Woyna
Battle of Soissons (1918);Robert L. Bullard;Hermann von Staabs
Battle of Soissons (1918);Robert L. Bullard;Oskar von Watter
Battle of Soissons (1918);Charles P. Summerall;Erich Ludendorff
Battle of Soissons (1918);Charles P. Summerall;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);Charles P. Summerall;Johannes von Eben
Battle of Soissons (1918);Charles P. Summerall;Wilhelm von Woyna
Battle of Soissons (1918);Charles P. Summerall;Hermann von Staabs
Battle of Soissons (1918);Charles P. Summerall;Oskar von Watter
Battle of Soissons (1918);James G. Harbord;Erich Ludendorff
Battle of Soissons (1918);James G. Harbord;Crown Prince Wilhelm of Germany
Battle of Soissons (1918);James G. Harbord;Johannes von Eben
Battle of Soissons (1918);James G. Harbord;Wilhelm von Woyna
Battle of Soissons (1918);James G. Harbord;Hermann von Staabs
Battle of Soissons (1918);James G. Harbord;Oskar von Watter
Battle of St. Quentin (1914);Charles Lanrezac;Karl von Bülow
Battle of Stallupönen;Hermann von François;Paul von Rennenkampf
Battle of St Quentin Canal;Henry Rawlinson, 1st Baron Rawlinson;Adolph von Carlowitz
Battle of St Quentin Canal;John Monash;Adolph von Carlowitz
Battle of St Quentin Canal;Walter Braithwaite;Adolph von Carlowitz
Battle of St Quentin Canal;George Windle Read;Adolph von Carlowitz
Battle of Suldouze;Agha Petros;Kheiri Bey
Battle of Suldouze;Malik Khoshaba;Kheiri Bey
Battle of Syniava;Archduke Joseph Ferdinand;Vladimir Irmanov
Battle of Syniava;Archduke Joseph Ferdinand;Konstantin Nekrasov
Battle of Sălătrucu;Ioan Culcer;Erich von Falkenhayn
Battle of Sălătrucu;Ioan Culcer;Konrad Krafft von Dellmensingen
Battle of Sălătrucu;Nicolae Petala;Erich von Falkenhayn
Battle of Sălătrucu;Nicolae Petala;Konrad Krafft von Dellmensingen
Battle of Tabora;Charles Tombeur;Kurt Wahle
Battle of Tabsor;Edmund Allenby;Fevzi Çakmak
Battle of Tabsor;Edmund Allenby;Liman von Sanders
Battle of Tabsor;Edmund Allenby;Cevat Çobanlı
Battle of Tabsor;Edmund Allenby;Gustav von Oppen
Battle of Tabsor;Edward Bulfin;Fevzi Çakmak
Battle of Tabsor;Edward Bulfin;Liman von Sanders
Battle of Tabsor;Edward Bulfin;Cevat Çobanlı
Battle of Tabsor;Edward Bulfin;Gustav von Oppen
Battle of Taif (1916);Abdullah I of Jordan;Ahmed Tevfik Pasha
Battle of Taif (1916);Faajir bin Sheliweh al-'Atawi;Ahmed Tevfik Pasha
Battle of Tampere;C. G. E. Mannerheim;Hugo Salmela
Battle of Tampere;C. G. E. Mannerheim;Georgy Bulatsel
Battle of Tampere;C. G. E. Mannerheim;Ali Aaltonen
Battle of Tampere;C. G. E. Mannerheim;Verner Lehtimäki
Battle of Tampere;Hjalmar Frisell;Hugo Salmela
Battle of Tampere;Hjalmar Frisell;Georgy Bulatsel
Battle of Tampere;Hjalmar Frisell;Ali Aaltonen
Battle of Tampere;Hjalmar Frisell;Verner Lehtimäki
Battle of Tanga;Paul von Lettow-Vorbeck;Arthur Aitken
Battle of Tanga;Paul von Lettow-Vorbeck;Richard Wapshare
Battle of Tanga;Paul von Lettow-Vorbeck;Michael Tighe (Indian Army officer)
Battle of Tanga;Tom von Prince;Arthur Aitken
Battle of Tanga;Tom von Prince;Richard Wapshare
Battle of Tanga;Tom von Prince;Michael Tighe (Indian Army officer)
Battle of Tannenberg;Paul von Hindenburg;Alexander Samsonov
Battle of Tannenberg;Paul von Hindenburg;Yakov Zhilinsky
Battle of Tannenberg;Erich Ludendorff;Alexander Samsonov
Battle of Tannenberg;Erich Ludendorff;Yakov Zhilinsky
Battle of Tannenberg;Max Hoffmann;Alexander Samsonov
Battle of Tannenberg;Max Hoffmann;Yakov Zhilinsky
Battle of Tannenberg;Hermann von François;Alexander Samsonov
Battle of Tannenberg;Hermann von François;Yakov Zhilinsky
Battle of Tell 'Asur;Edmund Allenby;Fevzi Çakmak
Battle of Tell 'Asur;Edmund Allenby;Erich von Falkenhayn
Battle of Tell 'Asur;Edmund Allenby;Liman von Sanders
Battle of Tell 'Asur;Edward Bulfin;Fevzi Çakmak
Battle of Tell 'Asur;Edward Bulfin;Erich von Falkenhayn
Battle of Tell 'Asur;Edward Bulfin;Liman von Sanders
Battle of Tell 'Asur;Philip Chetwode;Fevzi Çakmak
Battle of Tell 'Asur;Philip Chetwode;Erich von Falkenhayn
Battle of Tell 'Asur;Philip Chetwode;Liman von Sanders
Battle of Tel el Khuweilfe;Edmund Allenby;Erich von Falkenhayn
Battle of Tel el Khuweilfe;Edmund Allenby;Fevzi Çakmak
Battle of Tel el Khuweilfe;Harry Chauvel;Erich von Falkenhayn
Battle of Tel el Khuweilfe;Harry Chauvel;Fevzi Çakmak
Battle of Tepe;MacLear;Milbrat
Battle of Terron;Armand Charles Phillipe;Karl von Einem
Battle of Terron;Otakar Husák;Karl von Einem
Battle of the Ancre;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of the Ancre;Douglas Haig;Max von Gallwitz
Battle of the Ancre;Douglas Haig;Fritz von Below
Battle of the Ancre;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of the Ancre;Hubert Gough;Max von Gallwitz
Battle of the Ancre;Hubert Gough;Fritz von Below
Battle of the Ancre;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of the Ancre;Ferdinand Foch;Max von Gallwitz
Battle of the Ancre;Ferdinand Foch;Fritz von Below
Battle of the Ancre Heights;Joseph Joffre;Erich Ludendorff
Battle of the Ancre Heights;Joseph Joffre;Crown Prince Rupprecht of Bavaria
Battle of the Ancre Heights;Joseph Joffre;Max von Gallwitz
Battle of the Ancre Heights;Joseph Joffre;Fritz von Below
Battle of the Ancre Heights;Douglas Haig;Erich Ludendorff
Battle of the Ancre Heights;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of the Ancre Heights;Douglas Haig;Max von Gallwitz
Battle of the Ancre Heights;Douglas Haig;Fritz von Below
Battle of the Ancre Heights;Ferdinand Foch;Erich Ludendorff
Battle of the Ancre Heights;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of the Ancre Heights;Ferdinand Foch;Max von Gallwitz
Battle of the Ancre Heights;Ferdinand Foch;Fritz von Below
Battle of the Ancre Heights;Hubert Gough;Erich Ludendorff
Battle of the Ancre Heights;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of the Ancre Heights;Hubert Gough;Max von Gallwitz
Battle of the Ancre Heights;Hubert Gough;Fritz von Below
Battle of the Ardennes;Pierre Ruffey;Albrecht of Württemberg
Battle of the Ardennes;Pierre Ruffey;Crown Prince Wilhelm of Germany
Battle of the Ardennes;Fernand de Langle de Cary;Albrecht of Württemberg
Battle of the Ardennes;Fernand de Langle de Cary;Crown Prince Wilhelm of Germany
Battle of the Argeș;Constantin Prezan;Erich von Falkenhayn
Battle of the Argeș;Constantin Prezan;August von Mackensen
Battle of the Canal du Nord;Henry Horne, 1st Baron Horne;Otto von Below
Battle of the Canal du Nord;Henry Horne, 1st Baron Horne;Georg von der Marwitz
Battle of the Canal du Nord;Julian Byng;Otto von Below
Battle of the Canal du Nord;Julian Byng;Georg von der Marwitz
Battle of the Col Basson;Pasquale Oro;Otto Ellison von Nidlef
Battle of the Crna Bend (1916);Victor Cordonnier;Todor Mitov
Battle of the Crna Bend (1916);Victor Cordonnier;Georgi Bolyshakov
Battle of the Crna Bend (1916);Victor Cordonnier;Arnold von Winckler
Battle of the Crna Bend (1916);Živojin Mišić;Todor Mitov
Battle of the Crna Bend (1916);Živojin Mišić;Georgi Bolyshakov
Battle of the Crna Bend (1916);Živojin Mišić;Arnold von Winckler
Battle of the Crna Bend (1917);Hermann von Ziegesar;Georges Lebouc
Battle of the Crna Bend (1917);Hermann von Ziegesar;Paul François Grossetti
Battle of the Crna Bend (1917);Hermann von Ziegesar;Giuseppe Pennella
Battle of the Crna Bend (1917);Hermann von Ziegesar;Mikhail Dieterichs
Battle of the Crna Bend (1917);Karl Suren;Georges Lebouc
Battle of the Crna Bend (1917);Karl Suren;Paul François Grossetti
Battle of the Crna Bend (1917);Karl Suren;Giuseppe Pennella
Battle of the Crna Bend (1917);Karl Suren;Mikhail Dieterichs
Battle of the Drina;Oskar Potiorek;Stepa Stepanović
Battle of the Drina;Oskar Potiorek;Pavle Jurišić Šturm
Battle of the Drina;Liborius Ritter von Frank;Stepa Stepanović
Battle of the Drina;Liborius Ritter von Frank;Pavle Jurišić Šturm
Battle of the Eastern Carpathians;Constantin Prezan;Arthur Arz von Straussenburg
Battle of the Eastern Carpathians;Ion Antonescu;Arthur Arz von Straussenburg
Battle of the Falkland Islands;Doveton Sturdee;Maximilian von Spee
Battle of the Falkland Islands;John Luce (Royal Navy officer);Maximilian von Spee
Battle of the Four Rivers;Paul von Hindenburg;Nikolai Ruzsky
Battle of the Four Rivers;Paul von Hindenburg;Alexander Litvinov
Battle of the Four Rivers;Paul von Hindenburg;Vladimir Vasilyevich Smirnov
Battle of the Four Rivers;Paul von Hindenburg;Aleksei Evert
Battle of the Four Rivers;Paul von Hindenburg;Paul von Plehwe
Battle of the Four Rivers;Paul von Hindenburg;Platon Lechitsky
Battle of the Four Rivers;Viktor Dankl von Krasnik;Nikolai Ruzsky
Battle of the Four Rivers;Viktor Dankl von Krasnik;Alexander Litvinov
Battle of the Four Rivers;Viktor Dankl von Krasnik;Vladimir Vasilyevich Smirnov
Battle of the Four Rivers;Viktor Dankl von Krasnik;Aleksei Evert
Battle of the Four Rivers;Viktor Dankl von Krasnik;Paul von Plehwe
Battle of the Four Rivers;Viktor Dankl von Krasnik;Platon Lechitsky
Battle of the Four Rivers;Remus von Woyrsch;Nikolai Ruzsky
Battle of the Four Rivers;Remus von Woyrsch;Alexander Litvinov
Battle of the Four Rivers;Remus von Woyrsch;Vladimir Vasilyevich Smirnov
Battle of the Four Rivers;Remus von Woyrsch;Aleksei Evert
Battle of the Four Rivers;Remus von Woyrsch;Paul von Plehwe
Battle of the Four Rivers;Remus von Woyrsch;Platon Lechitsky
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Nikolai Ruzsky
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Alexander Litvinov
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Vladimir Vasilyevich Smirnov
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Aleksei Evert
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Paul von Plehwe
Battle of the Four Rivers;Eduard von Böhm-Ermolli;Platon Lechitsky
Battle of the Frontiers;Joseph Joffre;Helmuth von Moltke the Younger
Battle of the Frontiers;King Albert I;Helmuth von Moltke the Younger
Battle of the Frontiers;John French, 1st Earl of Ypres;Helmuth von Moltke the Younger
Battle of the Gulf of Riga;Vasily Kanin;Franz von Hipper
Battle of the Hills;Robert Nivelle;Erich Ludendorff
Battle of the Hills;Robert Nivelle;Crown Prince Wilhelm of Germany
Battle of the Hills;Robert Nivelle;Karl von Einem
Battle of the Hills;Philippe Pétain;Erich Ludendorff
Battle of the Hills;Philippe Pétain;Crown Prince Wilhelm of Germany
Battle of the Hills;Philippe Pétain;Karl von Einem
Battle of the Hills;François Anthoine;Erich Ludendorff
Battle of the Hills;François Anthoine;Crown Prince Wilhelm of Germany
Battle of the Hills;François Anthoine;Karl von Einem
Battle of the Lys and the Escaut;King Albert I;Erich Ludendorff
Battle of the Lys and the Escaut;King Albert I;Crown Prince Rupprecht of Bavaria
Battle of the Lys and the Escaut;King Albert I;Friedrich Sixt von Armin
Battle of the Lys and the Escaut;King Albert I;Ferdinand von Quast
Battle of the Lys and the Escaut;Jean Degoutte;Erich Ludendorff
Battle of the Lys and the Escaut;Jean Degoutte;Crown Prince Rupprecht of Bavaria
Battle of the Lys and the Escaut;Jean Degoutte;Friedrich Sixt von Armin
Battle of the Lys and the Escaut;Jean Degoutte;Ferdinand von Quast
Battle of the Lys and the Escaut;Herbert Plumer;Erich Ludendorff
Battle of the Lys and the Escaut;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of the Lys and the Escaut;Herbert Plumer;Friedrich Sixt von Armin
Battle of the Lys and the Escaut;Herbert Plumer;Ferdinand von Quast
Battle of the Lys and the Escaut;Antoine Baucheron de Boissoudy;Erich Ludendorff
Battle of the Lys and the Escaut;Antoine Baucheron de Boissoudy;Crown Prince Rupprecht of Bavaria
Battle of the Lys and the Escaut;Antoine Baucheron de Boissoudy;Friedrich Sixt von Armin
Battle of the Lys and the Escaut;Antoine Baucheron de Boissoudy;Ferdinand von Quast
Battle of the Menin Road Ridge;Douglas Haig;Erich Ludendorff
Battle of the Menin Road Ridge;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of the Menin Road Ridge;Douglas Haig;Friedrich Sixt von Armin
Battle of the Menin Road Ridge;Herbert Plumer;Erich Ludendorff
Battle of the Menin Road Ridge;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of the Menin Road Ridge;Herbert Plumer;Friedrich Sixt von Armin
Battle of the Menin Road Ridge;Hubert Gough;Erich Ludendorff
Battle of the Menin Road Ridge;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of the Menin Road Ridge;Hubert Gough;Friedrich Sixt von Armin
Battle of the Nek;Alexander Godley;Mustafa Kemal Atatürk
Battle of the Nek;Alexander Godley;Mustafa Bey
Battle of the Nek;Alexander Godley;Sefik Bey
Battle of the Nek;Frederic Godfrey Hughes;Mustafa Kemal Atatürk
Battle of the Nek;Frederic Godfrey Hughes;Mustafa Bey
Battle of the Nek;Frederic Godfrey Hughes;Sefik Bey
Battle of the Olt Valley;Paraschiv Vasilescu;Konrad Krafft von Dellmensingen
Battle of the Olt Valley;Paraschiv Vasilescu;Heinrich of Bavaria
Battle of the Olt Valley;Nicolae Petala;Konrad Krafft von Dellmensingen
Battle of the Olt Valley;Nicolae Petala;Heinrich of Bavaria
Battle of the Rufiji Delta;Max Looff;Cpt. Sidney Robert Drury-Lowe
Battle of the San river (1914);Viktor Dankl von Krasnik;Aleksei Brusilov
Battle of the San river (1914);Viktor Dankl von Krasnik;Radko Dimitriev
Battle of the San river (1914);Viktor Dankl von Krasnik;Dmitry Shcherbachev
Battle of the San river (1914);Svetozar Boroević;Aleksei Brusilov
Battle of the San river (1914);Svetozar Boroević;Radko Dimitriev
Battle of the San river (1914);Svetozar Boroević;Dmitry Shcherbachev
Battle of the San river (1914);Archduke Joseph Ferdinand;Aleksei Brusilov
Battle of the San river (1914);Archduke Joseph Ferdinand;Radko Dimitriev
Battle of the San river (1914);Archduke Joseph Ferdinand;Dmitry Shcherbachev
Battle of the San river (1914);Eduard von Böhm-Ermolli;Aleksei Brusilov
Battle of the San river (1914);Eduard von Böhm-Ermolli;Radko Dimitriev
Battle of the San river (1914);Eduard von Böhm-Ermolli;Dmitry Shcherbachev
Battle of the Selle;Henry Horne, 1st Baron Horne;Erich Ludendorff
Battle of the Selle;Julian Byng;Erich Ludendorff
Battle of the Selle;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Battle of the Selle;George Windle Read;Erich Ludendorff
Battle of the Serre;Charles Mangin;Magnus von Eberhardt
Battle of the Serre;Charles Mangin;Oskar von Hutier
Battle of the Serre;Marie-Eugène Debeney;Magnus von Eberhardt
Battle of the Serre;Marie-Eugène Debeney;Oskar von Hutier
Battle of the Somme;Douglas Haig;Erich von Falkenhayn
Battle of the Somme;Douglas Haig;Paul von Hindenburg
Battle of the Somme;Douglas Haig;Erich Ludendorff
Battle of the Somme;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of the Somme;Douglas Haig;Max von Gallwitz
Battle of the Somme;Douglas Haig;Fritz von Below
Battle of the Somme;Edmund Allenby;Erich von Falkenhayn
Battle of the Somme;Edmund Allenby;Paul von Hindenburg
Battle of the Somme;Edmund Allenby;Erich Ludendorff
Battle of the Somme;Edmund Allenby;Crown Prince Rupprecht of Bavaria
